time,symbol,open,high,low,close,volume
2024-08-08,TON/USDT,4.352,6.47,4.352,6.218,7201655.11
2024-08-09,TON/USDT,6.217,6.832,6.081,6.619,11228166.27
2024-08-10,TON/USDT,6.619,6.846,6.599,6.673,5133409.14
2024-08-11,TON/USDT,6.674,6.725,6.154,6.21,4615543.02
2024-08-12,TON/USDT,6.21,6.63,6.057,6.27,5856268.56
2024-08-13,TON/USDT,6.271,6.531,6.186,6.456,4317982.22
2024-08-14,TON/USDT,6.455,7.269,6.392,6.89,10902776.42
2024-08-15,TON/USDT,6.889,6.914,6.43,6.597,8328363.14
2024-08-16,TON/USDT,6.598,6.886,6.376,6.538,12169320.21
2024-08-17,TON/USDT,6.537,6.578,6.382,6.438,3533224.7
2024-08-18,TON/USDT,6.439,7.104,6.409,6.887,5796162.58
2024-08-19,TON/USDT,6.887,7.068,6.709,6.832,7418290.56
2024-08-20,TON/USDT,6.832,6.932,6.592,6.664,5041418.88
2024-08-21,TON/USDT,6.665,6.772,6.479,6.496,5312979.12
2024-08-22,TON/USDT,6.496,6.6,6.43,6.504,5136602.64
2024-08-23,TON/USDT,6.504,6.814,6.493,6.7,6231723.21
2024-08-24,TON/USDT,6.701,6.878,5.452,5.927,37829112.43
2024-08-25,TON/USDT,5.926,5.994,5.245,5.77,57258693.92
2024-08-26,TON/USDT,5.77,5.83,5.03,5.132,29148897.52
2024-08-27,TON/USDT,5.132,5.668,5.131,5.438,25960725.28
2024-08-28,TON/USDT,5.438,5.98,5.111,5.521,41230520.5
2024-08-29,TON/USDT,5.521,5.658,5.358,5.454,12212921.38
2024-08-30,TON/USDT,5.454,5.514,5.256,5.371,7774914.67
2024-08-31,TON/USDT,5.371,5.443,5.275,5.42,5863389.09
2024-09-01,TON/USDT,5.421,5.457,5.15,5.184,5536725.88
2024-09-02,TON/USDT,5.183,5.247,5.08,5.219,6423709.68
2024-09-03,TON/USDT,5.218,5.3,4.856,4.889,9832501.86
2024-09-04,TON/USDT,4.889,4.925,4.555,4.625,14987366.99
2024-09-05,TON/USDT,4.626,4.917,4.514,4.81,12461262.85
2024-09-06,TON/USDT,4.81,4.91,4.444,4.656,12762687.84
2024-09-07,TON/USDT,4.658,4.691,4.59,4.67,4853905.83
2024-09-08,TON/USDT,4.67,4.945,4.646,4.896,7344011.31
2024-09-09,TON/USDT,4.896,5.27,4.871,5.219,10281667.78
2024-09-10,TON/USDT,5.219,5.56,5.168,5.529,7959478.41
2024-09-11,TON/USDT,5.529,5.553,5.155,5.389,9563103.03
2024-09-12,TON/USDT,5.39,5.695,5.34,5.583,9342600.15
2024-09-13,TON/USDT,5.584,5.887,5.477,5.781,9479540.54
2024-09-14,TON/USDT,5.781,5.838,5.648,5.676,4609061.31
2024-09-15,TON/USDT,5.676,5.763,5.514,5.554,6548849.59
2024-09-16,TON/USDT,5.554,5.602,5.366,5.485,6279830.51
2024-09-17,TON/USDT,5.485,5.596,5.405,5.522,7416001.28
2024-09-18,TON/USDT,5.522,5.645,5.425,5.641,5724820.2
2024-09-19,TON/USDT,5.641,5.813,5.604,5.683,6543438.29
2024-09-20,TON/USDT,5.683,5.806,5.548,5.585,6232471.06
2024-09-21,TON/USDT,5.585,5.708,5.449,5.673,3582813.93
2024-09-22,TON/USDT,5.673,5.703,5.5,5.62,3408058.94
2024-09-23,TON/USDT,5.62,5.725,5.544,5.64,5251600.25
2024-09-24,TON/USDT,5.64,5.652,5.459,5.616,5213238.04
2024-09-25,TON/USDT,5.616,5.827,5.56,5.736,7269844.56
2024-09-26,TON/USDT,5.737,5.94,5.624,5.792,9282715.78
2024-09-27,TON/USDT,5.792,6.134,5.712,5.981,9149335.26
2024-09-28,TON/USDT,5.98,6.069,5.814,5.885,4649532.35
2024-09-29,TON/USDT,5.885,5.91,5.734,5.847,3686312.94
2024-09-30,TON/USDT,5.847,5.889,5.658,5.708,4706257.96
2024-10-01,TON/USDT,5.708,5.842,5.172,5.378,10896095.85
2024-10-02,TON/USDT,5.378,5.512,5.25,5.29,6836050.5
2024-10-03,TON/USDT,5.289,5.337,5.135,5.332,6705409.56
2024-10-04,TON/USDT,5.332,5.479,5.304,5.401,3337165.13
2024-10-05,TON/USDT,5.401,5.428,5.183,5.234,3650937.27
2024-10-06,TON/USDT,5.234,5.46,5.176,5.315,4482896.16
2024-10-07,TON/USDT,5.315,5.4,5.191,5.198,5338969.17
2024-10-08,TON/USDT,5.198,5.345,5.137,5.199,5376813.67
2024-10-09,TON/USDT,5.198,5.244,5.0,5.066,5216818.83
2024-10-10,TON/USDT,5.066,5.14,4.997,5.138,4451383.52
2024-10-11,TON/USDT,5.138,5.266,5.122,5.209,3185622.72
2024-10-12,TON/USDT,5.21,5.313,5.151,5.241,3128623.26
2024-10-13,TON/USDT,5.241,5.308,5.113,5.192,3798305.82
2024-10-14,TON/USDT,5.193,5.36,5.159,5.323,5758841.14
2024-10-15,TON/USDT,5.323,5.343,5.123,5.224,8979951.86
2024-10-16,TON/USDT,5.224,5.3,5.17,5.227,4632076.06
2024-10-17,TON/USDT,5.226,5.26,5.105,5.183,5366258.69
2024-10-18,TON/USDT,5.183,5.265,5.173,5.25,2971242.31
2024-10-19,TON/USDT,5.25,5.284,5.223,5.267,1696432.38
2024-10-20,TON/USDT,5.269,5.38,5.244,5.358,2885094.13
2024-10-21,TON/USDT,5.358,5.408,5.165,5.194,5402687.27
2024-10-22,TON/USDT,5.195,5.287,5.147,5.223,5151847.05
2024-10-23,TON/USDT,5.224,5.247,5.015,5.14,4410407.64
2024-10-24,TON/USDT,5.14,5.186,5.094,5.128,3401184.54
2024-10-25,TON/USDT,5.129,5.134,4.56,4.776,9135716.7
2024-10-26,TON/USDT,4.776,5.0,4.738,4.925,5068582.59
2024-10-27,TON/USDT,4.924,4.998,4.904,4.997,2461684.22
2024-10-28,TON/USDT,4.997,5.054,4.927,5.017,4523486.5
2024-10-29,TON/USDT,5.017,5.147,4.987,5.02,6462665.04
2024-10-30,TON/USDT,5.02,5.081,4.959,4.989,6779061.42
2024-10-31,TON/USDT,4.99,5.008,4.758,4.846,5458005.45
2024-11-01,TON/USDT,4.847,4.951,4.791,4.894,4528128.74
2024-11-02,TON/USDT,4.894,4.962,4.845,4.874,2248134.0
2024-11-03,TON/USDT,4.874,4.884,4.664,4.818,4335200.82
2024-11-04,TON/USDT,4.818,4.909,4.674,4.699,3369689.33
2024-11-05,TON/USDT,4.698,4.734,4.542,4.668,8357922.06
2024-11-06,TON/USDT,4.668,4.851,4.645,4.796,14251712.64
2024-11-07,TON/USDT,4.796,5.24,4.759,4.908,12886305.45
2024-11-08,TON/USDT,4.908,4.979,4.825,4.925,6973765.05
2024-11-09,TON/USDT,4.925,5.298,4.9,5.241,13859124.15
2024-11-10,TON/USDT,5.242,5.578,5.02,5.274,17923418.43
2024-11-11,TON/USDT,5.276,5.517,5.187,5.497,15525406.55
2024-11-12,TON/USDT,5.497,5.724,5.088,5.469,21007405.45
2024-11-13,TON/USDT,5.47,5.564,5.125,5.258,14438329.84
2024-11-14,TON/USDT,5.258,5.482,5.172,5.236,12021415.35
2024-11-15,TON/USDT,5.235,5.421,5.152,5.381,8478245.11
2024-11-16,TON/USDT,5.381,5.832,5.358,5.648,13141131.05
2024-11-17,TON/USDT,5.648,5.725,5.29,5.383,9193867.83
2024-11-18,TON/USDT,5.383,5.614,5.36,5.576,6811388.12
2024-11-19,TON/USDT,5.577,5.679,5.371,5.447,6276891.19
2024-11-20,TON/USDT,5.448,5.464,5.188,5.289,8823033.95
2024-11-21,TON/USDT,5.29,5.593,5.222,5.507,11837030.25
2024-11-22,TON/USDT,5.507,5.596,5.334,5.45,10516534.86
2024-11-23,TON/USDT,5.45,6.625,5.441,6.313,29148711.24
2024-11-24,TON/USDT,6.314,6.59,5.779,6.151,15818064.2
2024-11-25,TON/USDT,6.151,6.297,5.916,6.079,11662617.78
2024-11-26,TON/USDT,6.079,6.315,5.685,6.136,13510945.52
2024-11-27,TON/USDT,6.137,6.508,6.112,6.372,10296457.2
2024-11-28,TON/USDT,6.372,6.617,6.234,6.436,10785808.31
2024-11-29,TON/USDT,6.436,6.54,6.321,6.45,5199237.67
2024-11-30,TON/USDT,6.449,6.997,6.424,6.821,9411595.27
2024-12-01,TON/USDT,6.822,6.977,6.659,6.836,6087332.5
2024-12-02,TON/USDT,6.837,6.893,6.354,6.568,11106357.42
2024-12-03,TON/USDT,6.568,6.823,6.315,6.773,12375768.61
2024-12-04,TON/USDT,6.774,7.2,6.774,6.896,15644264.24
2024-12-05,TON/USDT,6.896,7.033,6.591,6.793,12647454.82
2024-12-06,TON/USDT,6.793,6.953,6.621,6.798,9021772.3
2024-12-07,TON/USDT,6.798,6.931,6.748,6.796,5359291.02
2024-12-08,TON/USDT,6.798,6.847,6.646,6.78,4310467.87
2024-12-09,TON/USDT,6.78,6.815,5.3,5.778,17089715.89
2024-12-10,TON/USDT,5.778,5.972,5.496,5.938,14661689.14
2024-12-11,TON/USDT,5.938,6.356,5.763,6.342,7557257.81
2024-12-12,TON/USDT,6.344,6.519,6.259,6.343,7138803.15
2024-12-13,TON/USDT,6.343,6.454,6.217,6.33,4609562.42
2024-12-14,TON/USDT,6.332,6.399,6.072,6.25,4072927.25
2024-12-15,TON/USDT,6.249,6.431,6.102,6.391,3490867.03
2024-12-16,TON/USDT,6.392,6.467,5.918,6.059,11764107.85
2024-12-17,TON/USDT,6.06,6.147,5.761,5.822,7192675.96
2024-12-18,TON/USDT,5.821,5.862,5.2,5.438,13214790.34
2024-12-19,TON/USDT,5.439,5.493,5.075,5.2,16777441.8
2024-12-20,TON/USDT,5.201,5.471,4.775,5.45,19800819.16
2024-12-21,TON/USDT,5.451,5.669,5.208,5.311,6396205.39
2024-12-22,TON/USDT,5.311,5.502,5.195,5.381,4427804.87
2024-12-23,TON/USDT,5.382,5.64,5.293,5.597,4797816.88
2024-12-24,TON/USDT,5.598,5.832,5.511,5.797,4030717.34
2024-12-25,TON/USDT,5.797,6.104,5.797,5.948,5328840.06
2024-12-26,TON/USDT,5.948,6.006,5.658,5.733,3854668.63
2024-12-27,TON/USDT,5.733,5.873,5.643,5.734,4244154.77
