time,symbol,open,high,low,close,volume
2024-12-16,VANA/USDT,1.0,35.0,1.0,34.401,28938610.88
2024-12-17,VANA/USDT,34.42,35.8,17.134,17.802,17449601.9
2024-12-18,VANA/USDT,17.802,18.5,15.3,16.222,9071465.25
2024-12-19,VANA/USDT,16.227,17.859,14.607,15.245,4896121.29
2024-12-20,VANA/USDT,15.243,19.6,15.05,19.527,7087343.0
2024-12-21,VANA/USDT,19.531,22.22,18.001,18.435,6194313.09
2024-12-22,VANA/USDT,18.435,19.3,16.969,17.451,2072893.79
2024-12-23,VANA/USDT,17.456,17.461,15.659,17.041,2290146.4
2024-12-24,VANA/USDT,17.045,18.293,16.724,17.823,1716346.82
2024-12-25,VANA/USDT,17.821,20.295,17.608,18.604,3621394.14
2024-12-26,VANA/USDT,18.607,23.15,18.46,20.099,6563526.27
2024-12-27,VANA/USDT,20.093,21.2,18.416,18.993,2994135.54
2024-12-28,VANA/USDT,18.994,19.004,17.422,17.856,1416457.65
2024-12-29,VANA/USDT,17.854,20.5,17.513,19.066,3245705.53
2024-12-30,VANA/USDT,19.069,19.083,16.676,16.923,1940626.13
2024-12-31,VANA/USDT,16.92,16.961,15.708,15.883,1970538.93
2025-01-01,VANA/USDT,15.88,16.34,15.377,16.121,1369642.48
2025-01-02,VANA/USDT,16.121,17.952,15.743,16.51,3729659.68
2025-01-03,VANA/USDT,16.508,17.6,16.305,17.237,2190234.29
2025-01-04,VANA/USDT,17.243,17.719,16.651,17.271,1522286.39
2025-01-05,VANA/USDT,17.272,18.745,16.946,17.844,1814353.7
2025-01-06,VANA/USDT,17.845,18.05,17.125,17.297,1181851.96
2025-01-07,VANA/USDT,17.298,17.317,15.282,15.473,1851984.75
2025-01-08,VANA/USDT,15.474,16.225,13.875,14.859,1681936.21
2025-01-09,VANA/USDT,14.854,14.854,13.46,13.973,1022192.31
2025-01-10,VANA/USDT,13.972,14.781,13.468,14.106,1067474.07
2025-01-11,VANA/USDT,14.102,14.458,13.644,14.22,392448.82
2025-01-12,VANA/USDT,14.22,14.22,13.605,13.786,284230.85
2025-01-13,VANA/USDT,13.794,14.114,11.679,12.448,1219984.91
2025-01-14,VANA/USDT,12.447,13.252,12.347,12.728,880394.4
2025-01-15,VANA/USDT,12.726,13.027,12.026,12.89,1184228.78
2025-01-16,VANA/USDT,12.89,12.925,11.0,12.312,1485353.68
2025-01-17,VANA/USDT,12.315,12.886,12.002,12.506,2025922.45
2025-01-18,VANA/USDT,12.507,12.776,10.863,11.159,1899631.16
2025-01-19,VANA/USDT,11.159,11.49,9.251,9.488,2421307.84
2025-01-20,VANA/USDT,9.488,10.434,8.962,9.545,2185943.03
2025-01-21,VANA/USDT,9.544,11.745,8.89,10.152,3275813.68
2025-01-22,VANA/USDT,10.154,11.99,9.744,10.525,2895365.01
2025-01-23,VANA/USDT,10.521,12.45,10.03,10.876,4356802.69
2025-01-24,VANA/USDT,10.873,10.896,9.698,9.935,1233816.9
2025-01-25,VANA/USDT,9.931,10.1,9.705,9.936,665330.27
2025-01-26,VANA/USDT,9.935,10.121,9.411,9.428,479559.85
2025-01-27,VANA/USDT,9.425,10.309,8.24,9.218,2023902.41
2025-01-28,VANA/USDT,9.218,9.999,8.55,8.671,1804252.27
2025-01-29,VANA/USDT,8.666,9.19,8.492,8.778,645069.59
2025-01-30,VANA/USDT,8.778,9.653,8.748,9.235,925951.03
2025-01-31,VANA/USDT,9.236,9.888,9.11,9.248,832171.98
2025-02-01,VANA/USDT,9.248,9.421,7.893,8.008,867026.46
2025-02-02,VANA/USDT,8.007,8.209,6.396,6.783,1201502.96
2025-02-03,VANA/USDT,6.783,7.79,5.132,6.946,2305712.69
2025-02-04,VANA/USDT,6.944,7.001,6.038,6.402,1366046.97
2025-02-05,VANA/USDT,6.407,6.75,6.008,6.122,810609.14
2025-02-06,VANA/USDT,6.117,6.253,5.607,5.685,838259.83
2025-02-07,VANA/USDT,5.68,6.207,5.43,5.647,798586.52
