time,symbol,open,high,low,close,volume
2019-12-20,FTT/USDT,1.94,2.218,1.94,2.155,1168998.116
2019-12-21,FTT/USDT,2.153,2.157,2.136,2.149,112274.121
2019-12-22,FTT/USDT,2.146,2.275,2.137,2.275,1324239.891
2019-12-23,FTT/USDT,2.277,2.303,2.173,2.191,1644144.833
2019-12-24,FTT/USDT,2.187,2.201,2.138,2.161,136824.262
2019-12-25,FTT/USDT,2.159,2.165,2.138,2.141,40658.758
2019-12-26,FTT/USDT,2.14,2.194,2.139,2.141,89310.288
2019-12-27,FTT/USDT,2.141,2.172,2.139,2.149,182638.672
2019-12-28,FTT/USDT,2.15,2.188,2.15,2.181,57643.714
2019-12-29,FTT/USDT,2.176,2.249,2.167,2.21,47632.036
2019-12-30,FTT/USDT,2.208,2.211,2.151,2.167,58259.427
2019-12-31,FTT/USDT,2.154,2.186,2.142,2.144,89816.753
2020-01-01,FTT/USDT,2.147,2.162,2.141,2.144,36912.453
2020-01-02,FTT/USDT,2.144,2.152,2.142,2.142,137785.552
2020-01-03,FTT/USDT,2.143,2.233,2.14,2.204,153597.542
2020-01-04,FTT/USDT,2.201,2.206,2.157,2.164,37466.666
2020-01-05,FTT/USDT,2.174,2.2,2.135,2.139,47776.802
2020-01-06,FTT/USDT,2.138,2.191,2.136,2.183,106516.456
2020-01-07,FTT/USDT,2.186,2.241,2.129,2.166,533551.662
2020-01-08,FTT/USDT,2.161,2.202,2.134,2.176,938394.078
2020-01-09,FTT/USDT,2.173,2.173,2.135,2.161,256197.946
2020-01-10,FTT/USDT,2.159,2.24,2.134,2.228,318059.44
2020-01-11,FTT/USDT,2.234,2.234,2.135,2.147,251332.158
2020-01-12,FTT/USDT,2.143,2.198,2.133,2.183,182071.045
2020-01-13,FTT/USDT,2.182,2.182,2.14,2.155,96535.739
2020-01-14,FTT/USDT,2.15,2.215,2.143,2.176,554663.894
2020-01-15,FTT/USDT,2.172,2.368,2.15,2.367,1162491.233
2020-01-16,FTT/USDT,2.369,2.4,2.287,2.4,399721.104
2020-01-17,FTT/USDT,2.396,2.481,2.04,2.386,496915.663
2020-01-18,FTT/USDT,2.387,2.423,2.334,2.377,294660.645
2020-01-19,FTT/USDT,2.371,2.434,2.235,2.284,393618.589
2020-01-20,FTT/USDT,2.285,2.291,2.203,2.266,202402.67
2020-01-21,FTT/USDT,2.266,2.352,2.262,2.351,319955.988
2020-01-22,FTT/USDT,2.349,2.362,2.287,2.315,238303.247
2020-01-23,FTT/USDT,2.321,2.321,2.18,2.236,775805.994
2020-01-24,FTT/USDT,2.23,2.286,2.194,2.256,99776.007
2020-01-25,FTT/USDT,2.259,2.259,2.205,2.224,71731.297
2020-01-26,FTT/USDT,2.21,2.29,2.202,2.284,315855.281
2020-01-27,FTT/USDT,2.291,2.403,2.288,2.372,364527.396
2020-01-28,FTT/USDT,2.376,2.446,2.334,2.446,647069.833
2020-01-29,FTT/USDT,2.446,2.453,2.344,2.348,585261.564
2020-01-30,FTT/USDT,2.346,2.421,2.318,2.404,598076.834
2020-01-31,FTT/USDT,2.406,2.408,2.32,2.367,236684.171
2020-02-01,FTT/USDT,2.371,2.39,2.329,2.351,72233.199
2020-02-02,FTT/USDT,2.336,2.37,2.294,2.318,177414.62
2020-02-03,FTT/USDT,2.315,2.384,2.262,2.302,679124.691
2020-02-04,FTT/USDT,2.301,2.318,2.209,2.248,336790.599
2020-02-05,FTT/USDT,2.248,2.388,2.239,2.342,492942.409
2020-02-06,FTT/USDT,2.344,2.42,2.322,2.413,363845.15
2020-02-07,FTT/USDT,2.413,2.448,2.35,2.388,600270.383
2020-02-08,FTT/USDT,2.383,2.408,2.338,2.382,120003.264
2020-02-09,FTT/USDT,2.384,2.428,2.372,2.409,344797.845
2020-02-10,FTT/USDT,2.408,2.541,2.316,2.492,872876.581
2020-02-11,FTT/USDT,2.492,2.575,2.421,2.557,348378.707
2020-02-12,FTT/USDT,2.561,2.618,2.534,2.578,486790.282
2020-02-13,FTT/USDT,2.571,2.608,2.436,2.52,601585.298
2020-02-14,FTT/USDT,2.522,2.574,2.509,2.562,123970.421
2020-02-15,FTT/USDT,2.571,2.58,2.425,2.522,312501.077
2020-02-16,FTT/USDT,2.509,3.745,2.508,2.952,3798162.649
2020-02-17,FTT/USDT,2.962,2.962,2.501,2.728,1673509.297
2020-02-18,FTT/USDT,2.728,2.865,2.691,2.85,157356.362
2020-02-19,FTT/USDT,2.841,2.847,0.5,2.652,167107.314
2020-02-20,FTT/USDT,2.652,2.667,2.58,2.628,322937.051
2020-02-21,FTT/USDT,2.622,2.722,2.615,2.688,124875.01
2020-02-22,FTT/USDT,2.679,2.692,2.646,2.673,57195.989
2020-02-23,FTT/USDT,2.673,2.773,2.667,2.756,47916.274
2020-02-24,FTT/USDT,2.748,2.764,2.542,2.634,148625.164
2020-02-25,FTT/USDT,2.634,2.634,2.446,2.46,551275.764
2020-02-26,FTT/USDT,2.461,2.484,2.14,2.285,1467046.382
2020-02-27,FTT/USDT,2.279,2.465,2.22,2.448,634117.505
2020-02-28,FTT/USDT,2.448,2.641,2.444,2.617,248830.686
2020-02-29,FTT/USDT,2.619,2.687,2.576,2.576,121240.796
2020-03-01,FTT/USDT,2.573,2.654,2.524,2.556,103535.723
2020-03-02,FTT/USDT,2.555,2.702,2.552,2.678,209561.154
2020-03-03,FTT/USDT,2.676,2.713,2.609,2.639,87329.8
2020-03-04,FTT/USDT,2.642,2.693,2.612,2.633,78385.711
2020-03-05,FTT/USDT,2.647,2.78,2.647,2.726,121773.746
2020-03-06,FTT/USDT,2.727,2.81,2.711,2.804,71231.294
2020-03-07,FTT/USDT,2.806,2.807,2.655,2.672,47747.641
2020-03-08,FTT/USDT,2.668,2.668,2.4,2.426,124032.772
2020-03-09,FTT/USDT,2.432,2.433,2.376,2.409,128694.86
2020-03-10,FTT/USDT,2.405,2.497,2.395,2.45,200409.721
2020-03-11,FTT/USDT,2.463,2.482,2.251,2.383,63954.872
