time,symbol,open,high,low,close,volume
2024-10-11,SCR/USDT,0.4,1.94,0.28,1.13,35922228.3
2024-10-12,SCR/USDT,1.13,1.2,1.05,1.158,10620057.2
2024-10-13,SCR/USDT,1.158,1.18,1.121,1.16,3410388.6
2024-10-14,SCR/USDT,1.156,1.18,1.135,1.159,3073040.4
2024-10-15,SCR/USDT,1.158,1.369,1.153,1.265,8812346.1
2024-10-16,SCR/USDT,1.27,1.446,1.266,1.394,6803145.7
2024-10-17,SCR/USDT,1.39,1.43,1.263,1.315,3450298.6
2024-10-18,SCR/USDT,1.319,1.38,1.22,1.254,4423310.0
2024-10-19,SCR/USDT,1.255,1.35,1.251,1.306,2018794.7
2024-10-20,SCR/USDT,1.307,1.38,1.27,1.349,1916638.7
2024-10-21,SCR/USDT,1.35,1.44,1.35,1.397,1377921.9
2024-10-22,SCR/USDT,0.8,1.45,0.8,1.161,114389633.9
2024-10-23,SCR/USDT,1.16,1.218,0.859,0.941,108630725.6
2024-10-24,SCR/USDT,0.941,0.966,0.891,0.935,36451139.7
2024-10-25,SCR/USDT,0.934,0.937,0.782,0.806,46650579.5
2024-10-26,SCR/USDT,0.807,0.861,0.783,0.791,24571174.8
2024-10-27,SCR/USDT,0.792,0.836,0.789,0.799,15473947.9
2024-10-28,SCR/USDT,0.798,0.806,0.696,0.723,26060081.9
2024-10-29,SCR/USDT,0.723,0.797,0.7,0.763,23041236.9
2024-10-30,SCR/USDT,0.762,0.787,0.729,0.739,14753346.5
2024-10-31,SCR/USDT,0.74,0.74,0.667,0.673,13803856.0
2024-11-01,SCR/USDT,0.674,0.689,0.641,0.652,14409469.5
2024-11-02,SCR/USDT,0.652,0.684,0.63,0.642,11050979.4
2024-11-03,SCR/USDT,0.641,0.65,0.567,0.601,14343535.8
2024-11-04,SCR/USDT,0.6,0.613,0.533,0.556,22081361.6
2024-11-05,SCR/USDT,0.556,0.745,0.556,0.65,52958122.8
2024-11-06,SCR/USDT,0.65,0.79,0.65,0.724,59928433.2
2024-11-07,SCR/USDT,0.723,0.774,0.694,0.71,23027147.9
2024-11-08,SCR/USDT,0.71,0.717,0.633,0.694,21644556.2
2024-11-09,SCR/USDT,0.694,0.831,0.672,0.777,61480829.9
2024-11-10,SCR/USDT,0.778,0.85,0.744,0.809,43735042.2
2024-11-11,SCR/USDT,0.811,0.852,0.75,0.793,27090745.1
2024-11-12,SCR/USDT,0.794,0.795,0.662,0.687,32287571.7
2024-11-13,SCR/USDT,0.687,0.693,0.603,0.636,36218747.9
2024-11-14,SCR/USDT,0.637,0.686,0.598,0.619,23774241.6
2024-11-15,SCR/USDT,0.619,0.644,0.586,0.637,15449074.3
2024-11-16,SCR/USDT,0.637,0.694,0.608,0.675,22469418.0
2024-11-17,SCR/USDT,0.675,0.727,0.631,0.667,22922893.2
2024-11-18,SCR/USDT,0.667,0.717,0.616,0.7,26597669.5
2024-11-19,SCR/USDT,0.699,0.703,0.631,0.653,14675693.7
2024-11-20,SCR/USDT,0.652,0.652,0.592,0.602,12548110.3
2024-11-21,SCR/USDT,0.602,0.738,0.573,0.724,29442855.0
2024-11-22,SCR/USDT,0.725,0.74,0.675,0.715,23522579.0
2024-11-23,SCR/USDT,0.714,0.763,0.695,0.726,26482177.2
2024-11-24,SCR/USDT,0.725,0.782,0.68,0.774,26593096.0
2024-11-25,SCR/USDT,0.772,0.81,0.737,0.764,31546851.6
2024-11-26,SCR/USDT,0.765,0.8,0.687,0.722,17772007.1
2024-11-27,SCR/USDT,0.721,0.874,0.706,0.845,29291233.0
2024-11-28,SCR/USDT,0.845,0.873,0.795,0.819,20180593.4
2024-11-29,SCR/USDT,0.819,0.824,0.781,0.814,10737751.3
2024-11-30,SCR/USDT,0.815,0.929,0.808,0.905,19600764.1
2024-12-01,SCR/USDT,0.905,0.938,0.864,0.911,16997822.3
2024-12-02,SCR/USDT,0.911,0.958,0.843,0.952,25798632.9
2024-12-03,SCR/USDT,0.952,0.983,0.855,0.969,23483457.1
2024-12-04,SCR/USDT,0.969,1.032,0.931,0.964,23670914.4
2024-12-05,SCR/USDT,0.965,0.972,0.888,0.918,20872336.1
2024-12-06,SCR/USDT,0.918,1.111,0.909,1.08,31308732.6
2024-12-07,SCR/USDT,1.079,1.104,1.03,1.041,8984720.5
2024-12-08,SCR/USDT,1.042,1.057,0.997,1.035,8061230.6
2024-12-09,SCR/USDT,1.034,1.05,0.821,0.945,25671785.5
2024-12-10,SCR/USDT,0.944,1.182,0.897,1.026,60935293.6
2024-12-11,SCR/USDT,1.026,1.238,0.979,1.178,24246231.4
2024-12-12,SCR/USDT,1.177,1.394,1.134,1.181,34109011.2
2024-12-13,SCR/USDT,1.18,1.448,1.158,1.204,58638755.9
2024-12-14,SCR/USDT,1.205,1.268,1.16,1.207,12763373.8
2024-12-15,SCR/USDT,1.206,1.34,1.157,1.324,15342956.4
2024-12-16,SCR/USDT,1.325,1.36,1.204,1.206,15491414.3
2024-12-17,SCR/USDT,1.207,1.23,1.065,1.076,12136158.7
2024-12-18,SCR/USDT,1.076,1.077,0.87,1.004,20105227.0
