time,symbol,open,high,low,close,volume
2024-06-20,ZRO/USDT,1.0,5.62,1.0,3.432,38449052.71
2024-06-21,ZRO/USDT,3.432,3.623,2.957,3.04,31540495.06
2024-06-22,ZRO/USDT,3.038,3.393,2.791,3.088,25846725.0
2024-06-23,ZRO/USDT,3.089,3.299,2.75,2.808,12798445.7
2024-06-24,ZRO/USDT,2.807,2.891,2.55,2.842,16724837.98
2024-06-25,ZRO/USDT,2.842,2.92,2.719,2.768,13065767.33
2024-06-26,ZRO/USDT,2.768,2.813,2.524,2.542,11226499.6
2024-06-27,ZRO/USDT,2.542,2.64,2.466,2.548,15492437.32
2024-06-28,ZRO/USDT,2.546,2.693,2.489,2.514,13248627.95
2024-06-29,ZRO/USDT,2.514,2.893,2.472,2.781,21524778.99
2024-06-30,ZRO/USDT,2.779,3.546,2.692,3.477,30259367.07
2024-07-01,ZRO/USDT,3.478,4.025,3.276,3.782,35973399.76
2024-07-02,ZRO/USDT,3.781,4.116,3.672,3.83,26520653.77
2024-07-03,ZRO/USDT,3.831,4.262,3.52,3.547,34770233.5
2024-07-04,ZRO/USDT,3.55,3.587,3.045,3.087,23514328.04
2024-07-05,ZRO/USDT,3.086,3.98,2.722,3.918,39966811.2
2024-07-06,ZRO/USDT,3.918,4.43,3.886,4.201,35968650.65
2024-07-07,ZRO/USDT,4.201,4.377,3.713,4.0,24447217.48
2024-07-08,ZRO/USDT,4.0,4.12,3.682,3.868,21960978.27
2024-07-09,ZRO/USDT,3.867,4.072,3.741,3.865,13180168.44
2024-07-10,ZRO/USDT,3.867,4.519,3.666,4.019,19475418.85
2024-07-11,ZRO/USDT,4.019,4.225,3.735,3.752,16946927.24
2024-07-12,ZRO/USDT,3.751,3.888,3.605,3.747,9477869.59
2024-07-13,ZRO/USDT,3.748,3.869,3.657,3.722,6821554.82
2024-07-14,ZRO/USDT,3.721,3.94,3.615,3.874,9867479.22
2024-07-15,ZRO/USDT,3.874,4.197,3.846,4.151,12783843.71
2024-07-16,ZRO/USDT,4.151,4.174,3.812,3.981,8460614.21
2024-07-17,ZRO/USDT,3.982,4.38,3.965,4.005,13394121.4
2024-07-18,ZRO/USDT,4.005,4.196,3.773,3.926,9281318.83
2024-07-19,ZRO/USDT,3.926,3.993,3.718,3.965,8142864.86
2024-07-20,ZRO/USDT,3.965,5.453,3.85,5.293,26829088.66
2024-07-21,ZRO/USDT,5.294,5.418,4.905,5.225,21692256.4
2024-07-22,ZRO/USDT,5.226,5.6,4.955,5.161,20293705.93
2024-07-23,ZRO/USDT,5.161,5.246,4.726,4.891,12728008.75
2024-07-24,ZRO/USDT,4.892,5.039,4.691,4.81,10316855.93
2024-07-25,ZRO/USDT,4.811,4.86,4.3,4.579,10667908.3
2024-07-26,ZRO/USDT,4.579,4.858,4.509,4.714,9190827.62
2024-07-27,ZRO/USDT,4.715,5.02,4.397,4.579,12237085.06
2024-07-28,ZRO/USDT,4.577,4.602,4.356,4.412,5400061.32
2024-07-29,ZRO/USDT,4.413,4.637,4.25,4.358,7468556.58
2024-07-30,ZRO/USDT,4.357,4.617,4.309,4.467,7583917.83
2024-07-31,ZRO/USDT,4.467,4.707,4.385,4.448,8153712.6
2024-08-01,ZRO/USDT,4.449,4.489,3.882,4.111,10887604.41
2024-08-02,ZRO/USDT,4.11,4.135,3.602,3.613,9635369.88
2024-08-03,ZRO/USDT,3.614,3.799,3.507,3.634,8451182.04
2024-08-04,ZRO/USDT,3.635,3.652,3.148,3.172,9829290.34
2024-08-05,ZRO/USDT,3.172,3.244,2.734,3.058,28528378.81
2024-08-06,ZRO/USDT,3.057,3.45,3.05,3.288,10100136.14
2024-08-07,ZRO/USDT,3.288,3.427,2.965,2.989,7343487.61
2024-08-08,ZRO/USDT,2.989,3.66,2.905,3.614,9957223.36
2024-08-09,ZRO/USDT,3.613,3.646,3.417,3.49,6121126.47
2024-08-10,ZRO/USDT,3.49,3.577,3.447,3.517,2891455.06
2024-08-11,ZRO/USDT,3.517,3.769,3.232,3.253,6571693.14
2024-08-12,ZRO/USDT,3.252,3.57,3.17,3.511,6462747.6
2024-08-13,ZRO/USDT,3.511,3.624,3.35,3.54,4769087.96
2024-08-14,ZRO/USDT,3.54,3.609,3.329,3.376,4149081.81
2024-08-15,ZRO/USDT,3.376,3.62,3.272,3.371,6946038.12
2024-08-16,ZRO/USDT,3.372,3.46,3.172,3.353,6261291.62
2024-08-17,ZRO/USDT,3.354,3.68,3.348,3.471,6229286.17
2024-08-18,ZRO/USDT,3.471,3.527,3.42,3.446,3618217.19
2024-08-19,ZRO/USDT,3.447,3.505,3.282,3.4,4636256.47
2024-08-20,ZRO/USDT,3.401,3.553,3.311,3.375,3724688.94
2024-08-21,ZRO/USDT,3.375,3.539,3.266,3.514,3991073.06
2024-08-22,ZRO/USDT,3.515,3.664,3.48,3.596,3935061.65
2024-08-23,ZRO/USDT,3.596,3.95,3.594,3.9,5559819.63
2024-08-24,ZRO/USDT,3.901,4.429,3.835,4.22,6744687.03
2024-08-25,ZRO/USDT,4.221,4.52,4.016,4.347,8824616.08
2024-08-26,ZRO/USDT,4.346,4.381,3.962,4.041,4635331.35
2024-08-27,ZRO/USDT,4.04,4.099,3.603,3.692,5599998.86
2024-08-28,ZRO/USDT,3.693,3.961,3.666,3.85,5985856.9
2024-08-29,ZRO/USDT,3.853,4.36,3.825,4.164,7766803.75
2024-08-30,ZRO/USDT,4.164,4.32,3.91,4.049,7855767.84
2024-08-31,ZRO/USDT,4.049,4.25,4.004,4.052,5343458.28
2024-09-01,ZRO/USDT,4.052,4.053,3.704,3.732,6972459.23
2024-09-02,ZRO/USDT,3.732,3.874,3.628,3.798,5629244.66
2024-09-03,ZRO/USDT,3.797,3.813,3.317,3.342,7346039.05
2024-09-04,ZRO/USDT,3.342,3.394,3.123,3.339,8275870.15
2024-09-05,ZRO/USDT,3.339,3.352,3.183,3.223,3721680.27
2024-09-06,ZRO/USDT,3.223,3.364,3.041,3.199,6283499.98
2024-09-07,ZRO/USDT,3.198,3.386,3.191,3.284,3544083.11
2024-09-08,ZRO/USDT,3.28,3.432,3.253,3.374,3780256.68
2024-09-09,ZRO/USDT,3.373,3.655,3.322,3.574,4643583.54
2024-09-10,ZRO/USDT,3.574,3.598,3.473,3.571,3218278.64
2024-09-11,ZRO/USDT,3.571,3.71,3.435,3.627,6324024.2
2024-09-12,ZRO/USDT,3.626,3.832,3.621,3.794,4572070.55
2024-09-13,ZRO/USDT,3.793,3.991,3.727,3.949,5975842.3
2024-09-14,ZRO/USDT,3.95,4.05,3.796,3.873,3964234.25
2024-09-15,ZRO/USDT,3.873,3.947,3.661,3.714,3499373.41
2024-09-16,ZRO/USDT,3.713,4.04,3.63,3.906,7274545.88
2024-09-17,ZRO/USDT,3.907,4.19,3.779,4.036,8268124.84
2024-09-18,ZRO/USDT,4.034,4.252,3.746,4.229,7535651.81
2024-09-19,ZRO/USDT,4.23,4.627,4.146,4.271,9221593.73
2024-09-20,ZRO/USDT,4.271,4.72,4.137,4.228,11102906.01
2024-09-21,ZRO/USDT,4.229,4.476,4.051,4.392,8929056.13
2024-09-22,ZRO/USDT,4.393,4.566,4.078,4.201,7449064.09
2024-09-23,ZRO/USDT,4.202,4.383,4.005,4.126,9064001.26
2024-09-24,ZRO/USDT,4.125,4.34,4.01,4.299,5685674.29
2024-09-25,ZRO/USDT,4.3,4.634,4.136,4.419,9613567.8
2024-09-26,ZRO/USDT,4.419,5.339,4.402,5.024,14536209.32
2024-09-27,ZRO/USDT,5.023,5.117,4.871,5.026,7979629.46
2024-09-28,ZRO/USDT,5.028,5.245,4.864,5.005,6302701.89
2024-09-29,ZRO/USDT,5.006,5.205,4.8,5.007,5088322.92
2024-09-30,ZRO/USDT,5.008,5.035,4.535,4.568,6314051.86
2024-10-01,ZRO/USDT,4.567,4.819,4.166,4.374,10490784.8
2024-10-02,ZRO/USDT,4.374,4.572,4.083,4.123,6973782.04
2024-10-03,ZRO/USDT,4.122,4.24,3.859,3.94,8247829.14
2024-10-04,ZRO/USDT,3.941,4.242,3.893,4.19,5515976.6
2024-10-05,ZRO/USDT,4.19,4.297,3.995,4.107,3225378.47
2024-10-06,ZRO/USDT,4.108,4.257,4.064,4.235,2432231.2
2024-10-07,ZRO/USDT,4.235,4.46,4.167,4.228,5169165.56
2024-10-08,ZRO/USDT,4.226,4.379,4.084,4.123,4905936.79
2024-10-09,ZRO/USDT,4.124,4.199,3.856,3.92,3542353.28
2024-10-10,ZRO/USDT,3.919,4.022,3.687,3.871,3898297.01
2024-10-11,ZRO/USDT,3.87,4.124,3.838,4.07,3057840.0
2024-10-12,ZRO/USDT,4.07,4.247,4.065,4.108,2484666.55
2024-10-13,ZRO/USDT,4.109,4.148,3.845,3.973,6944072.03
2024-10-14,ZRO/USDT,3.972,4.275,3.905,4.235,5761787.01
2024-10-15,ZRO/USDT,4.235,4.296,3.94,4.112,7227593.04
2024-10-16,ZRO/USDT,4.111,4.159,3.875,3.934,4180958.52
2024-10-17,ZRO/USDT,3.934,4.015,3.719,3.765,3498843.22
2024-10-18,ZRO/USDT,3.765,3.935,3.745,3.892,2899355.75
2024-10-19,ZRO/USDT,3.891,3.937,3.759,3.839,2323008.69
2024-10-20,ZRO/USDT,3.84,4.083,3.762,4.07,3851962.06
2024-10-21,ZRO/USDT,4.071,4.149,3.806,3.854,4265153.83
2024-10-22,ZRO/USDT,3.855,3.911,3.751,3.798,2786134.34
2024-10-23,ZRO/USDT,3.798,3.804,3.551,3.7,3716462.4
2024-10-24,ZRO/USDT,3.7,3.769,3.609,3.691,2451662.94
2024-10-25,ZRO/USDT,3.692,3.759,3.1,3.3,5882190.9
2024-10-26,ZRO/USDT,3.3,3.498,3.243,3.472,4211608.49
2024-10-27,ZRO/USDT,3.472,3.473,3.361,3.401,3445212.54
2024-10-28,ZRO/USDT,3.401,3.519,3.273,3.489,3481355.89
2024-10-29,ZRO/USDT,3.489,3.694,3.477,3.616,3841653.18
2024-10-30,ZRO/USDT,3.616,3.636,3.501,3.586,2942832.4
2024-10-31,ZRO/USDT,3.586,3.617,3.281,3.326,3557007.63
2024-11-01,ZRO/USDT,3.326,3.405,3.204,3.263,2684759.68
2024-11-02,ZRO/USDT,3.262,3.304,3.142,3.167,1555529.52
2024-11-03,ZRO/USDT,3.168,3.18,2.928,3.096,4363437.79
2024-11-04,ZRO/USDT,3.097,3.16,2.931,3.006,3241457.92
2024-11-05,ZRO/USDT,3.006,3.158,2.996,3.096,3043883.34
2024-11-06,ZRO/USDT,3.097,3.555,3.097,3.513,8111568.3
2024-11-07,ZRO/USDT,3.513,3.731,3.497,3.675,6079945.98
2024-11-08,ZRO/USDT,3.675,3.735,3.502,3.633,3301434.95
2024-11-09,ZRO/USDT,3.634,3.902,3.625,3.795,5397994.54
2024-11-10,ZRO/USDT,3.795,3.995,3.64,3.854,8793050.04
2024-11-11,ZRO/USDT,3.854,4.08,3.77,4.06,8642518.74
2024-11-12,ZRO/USDT,4.062,4.065,3.504,3.718,10903831.93
2024-11-13,ZRO/USDT,3.717,4.029,3.403,3.654,10593013.28
2024-11-14,ZRO/USDT,3.655,3.731,3.342,3.41,5470426.08
2024-11-15,ZRO/USDT,3.41,3.575,3.301,3.537,4034932.26
2024-11-16,ZRO/USDT,3.537,3.768,3.499,3.705,4128902.97
2024-11-17,ZRO/USDT,3.705,3.775,3.5,3.597,3990358.56
2024-11-18,ZRO/USDT,3.598,3.847,3.577,3.819,3970659.49
2024-11-19,ZRO/USDT,3.82,3.85,3.501,3.599,3434484.85
2024-11-20,ZRO/USDT,3.6,3.6,3.342,3.4,3416186.37
2024-11-21,ZRO/USDT,3.401,3.699,3.301,3.602,4993639.51
2024-11-22,ZRO/USDT,3.602,3.723,3.5,3.717,4378071.25
