time,symbol,open,high,low,close,volume
2025-03-18,BMT/USDT,0.1461,0.3298,0.1461,0.267,378150625.0
2025-03-19,BMT/USDT,0.267,0.2731,0.2106,0.2304,322700263.2
2025-03-20,BMT/USDT,0.2302,0.2429,0.1945,0.2003,193751107.4
2025-03-21,BMT/USDT,0.2002,0.2025,0.1756,0.1809,102695688.1
2025-03-22,BMT/USDT,0.1809,0.1891,0.1671,0.1709,104133048.8
2025-03-23,BMT/USDT,0.1708,0.1745,0.1605,0.1666,74470005.1
2025-03-24,BMT/USDT,0.1665,0.1761,0.1605,0.1684,82669801.8
2025-03-25,BMT/USDT,0.1683,0.1699,0.147,0.1523,110806283.3
2025-03-26,BMT/USDT,0.1524,0.1556,0.1381,0.1436,71903891.4
2025-03-27,BMT/USDT,0.1437,0.1521,0.137,0.1443,60017662.2
2025-03-28,BMT/USDT,0.1443,0.1533,0.128,0.1302,99826597.4
2025-03-29,BMT/USDT,0.1302,0.1322,0.1226,0.1263,56733429.7
2025-03-30,BMT/USDT,0.1263,0.1317,0.1193,0.1239,38710121.0
2025-03-31,BMT/USDT,0.124,0.1262,0.1164,0.1186,44751288.5
2025-04-01,BMT/USDT,0.1187,0.1269,0.1123,0.118,49578054.4
2025-04-02,BMT/USDT,0.1179,0.1182,0.1001,0.1019,49668385.3
2025-04-03,BMT/USDT,0.102,0.1063,0.0955,0.0969,29133796.2
2025-04-04,BMT/USDT,0.0969,0.0971,0.0888,0.0916,36118696.6
2025-04-05,BMT/USDT,0.0917,0.1039,0.0905,0.0961,60034097.6
2025-04-06,BMT/USDT,0.096,0.1049,0.0852,0.0875,105593251.5
2025-04-07,BMT/USDT,0.0875,0.0885,0.0764,0.083,56725446.6
2025-04-08,BMT/USDT,0.083,0.0862,0.0743,0.0749,41665542.9
2025-04-09,BMT/USDT,0.0747,0.0854,0.0721,0.0837,43627017.9
2025-04-10,BMT/USDT,0.0836,0.0869,0.0793,0.0817,39448403.6
2025-04-11,BMT/USDT,0.0816,0.0933,0.0802,0.0878,38490186.0
2025-04-12,BMT/USDT,0.0878,0.0977,0.0872,0.0918,47995432.4
2025-04-13,BMT/USDT,0.0917,0.0958,0.0836,0.0849,32918508.3
2025-04-14,BMT/USDT,0.0849,0.0889,0.0776,0.082,25119661.8
2025-04-15,BMT/USDT,0.082,0.0898,0.0786,0.079,32181287.9
2025-04-16,BMT/USDT,0.0789,0.0837,0.076,0.0764,23637651.9
2025-04-17,BMT/USDT,0.0765,0.079,0.075,0.0758,15134853.6
2025-04-18,BMT/USDT,0.0759,0.0785,0.0746,0.0784,10026047.1
2025-04-19,BMT/USDT,0.0784,0.0806,0.0773,0.0803,13089745.1
2025-04-20,BMT/USDT,0.0803,0.0835,0.0772,0.0812,25215474.0
2025-04-21,BMT/USDT,0.0812,0.086,0.0798,0.0803,20452637.2
2025-04-22,BMT/USDT,0.0803,0.0861,0.0791,0.0848,29839916.7
2025-04-23,BMT/USDT,0.0848,0.097,0.0838,0.0892,81157401.5
2025-04-24,BMT/USDT,0.0891,0.0895,0.0797,0.0848,27724261.2
2025-04-25,BMT/USDT,0.0848,0.0896,0.0827,0.0887,20398239.2
2025-04-26,BMT/USDT,0.0887,0.0927,0.086,0.0927,21721575.7
2025-04-27,BMT/USDT,0.0927,0.1428,0.0898,0.1367,341815708.6
2025-04-28,BMT/USDT,0.1368,0.1455,0.1116,0.1263,180547521.8
2025-04-29,BMT/USDT,0.1262,0.1411,0.1208,0.1409,87848536.5
2025-04-30,BMT/USDT,0.1408,0.1535,0.1309,0.1388,110482941.3
2025-05-01,BMT/USDT,0.1389,0.1908,0.1235,0.1306,133233394.1
2025-05-02,BMT/USDT,0.1306,0.1482,0.1277,0.1389,82611756.0
2025-05-03,BMT/USDT,0.1389,0.1596,0.1359,0.1487,143722932.4
