time,symbol,open,high,low,close,volume
2024-07-20,BANANA/USDT,40.0,78.68,40.0,64.17,1543769.571
2024-07-21,BANANA/USDT,64.16,78.0,60.32,62.0,1316150.125
2024-07-22,BANANA/USDT,61.96,65.58,61.5,61.69,598276.831
2024-07-23,BANANA/USDT,61.74,63.98,56.3,60.17,486539.991
2024-07-24,BANANA/USDT,60.19,66.94,58.37,58.66,461033.926
2024-07-25,BANANA/USDT,58.7,63.4,57.5,60.01,448204.504
2024-07-26,BANANA/USDT,60.0,64.46,59.58,62.04,282314.345
2024-07-27,BANANA/USDT,62.04,62.68,59.42,60.5,204641.128
2024-07-28,BANANA/USDT,60.5,60.53,55.28,56.31,202323.073
2024-07-29,BANANA/USDT,56.31,59.05,55.03,56.15,264541.132
2024-07-30,BANANA/USDT,56.15,56.63,53.16,53.82,156124.096
2024-07-31,BANANA/USDT,53.79,55.11,50.03,51.15,290878.323
2024-08-01,BANANA/USDT,51.17,51.17,42.88,47.68,608052.685
2024-08-02,BANANA/USDT,47.68,51.7,44.17,44.88,417697.937
2024-08-03,BANANA/USDT,44.88,48.46,41.53,42.55,381615.278
2024-08-04,BANANA/USDT,42.54,43.33,36.61,37.51,337786.014
2024-08-05,BANANA/USDT,37.52,37.67,29.0,32.46,813436.009
2024-08-06,BANANA/USDT,32.47,38.42,32.39,35.71,405562.302
2024-08-07,BANANA/USDT,35.71,38.3,31.69,32.37,387094.362
2024-08-08,BANANA/USDT,32.37,40.25,32.0,39.45,439228.41
2024-08-09,BANANA/USDT,39.41,40.66,36.7,38.55,291327.4
2024-08-10,BANANA/USDT,38.52,39.2,37.31,37.96,156913.024
2024-08-11,BANANA/USDT,37.96,38.9,33.56,33.71,196829.818
2024-08-12,BANANA/USDT,33.7,37.6,33.58,36.51,231945.321
2024-08-13,BANANA/USDT,36.51,44.78,35.01,43.04,569124.855
2024-08-14,BANANA/USDT,43.06,49.09,41.04,44.59,818735.774
2024-08-15,BANANA/USDT,44.6,48.48,41.92,42.39,774058.63
2024-08-16,BANANA/USDT,42.39,50.88,42.19,49.55,771582.644
2024-08-17,BANANA/USDT,49.55,63.5,46.65,55.93,1623004.248
2024-08-18,BANANA/USDT,55.95,60.49,51.45,51.67,926396.931
2024-08-19,BANANA/USDT,51.64,53.87,48.6,51.01,484237.838
2024-08-20,BANANA/USDT,51.0,52.88,48.37,48.48,412350.132
2024-08-21,BANANA/USDT,48.49,49.69,43.43,46.84,518555.063
2024-08-22,BANANA/USDT,46.84,48.85,45.3,46.76,354432.021
2024-08-23,BANANA/USDT,46.76,51.19,45.65,51.08,401198.645
2024-08-24,BANANA/USDT,51.09,53.2,48.0,49.18,414442.671
2024-08-25,BANANA/USDT,49.18,49.25,44.27,45.27,494435.457
2024-08-26,BANANA/USDT,45.31,46.99,42.36,42.55,327989.833
2024-08-27,BANANA/USDT,42.54,44.08,38.45,39.96,336447.097
2024-08-28,BANANA/USDT,39.96,43.17,38.53,40.57,343757.498
2024-08-29,BANANA/USDT,40.57,44.81,40.36,41.81,308035.422
2024-08-30,BANANA/USDT,41.75,42.48,38.27,40.61,148717.832
2024-08-31,BANANA/USDT,40.6,40.62,39.3,40.11,72086.343
2024-09-01,BANANA/USDT,40.11,40.11,36.56,36.65,111727.322
2024-09-02,BANANA/USDT,36.63,39.42,36.16,38.92,122326.926
2024-09-03,BANANA/USDT,38.91,39.98,36.57,36.7,90201.915
2024-09-04,BANANA/USDT,36.68,38.1,34.6,36.89,172174.934
2024-09-05,BANANA/USDT,36.88,37.67,35.68,36.21,110960.179
2024-09-06,BANANA/USDT,36.15,39.02,35.62,38.05,343238.414
2024-09-07,BANANA/USDT,38.09,40.92,37.8,39.68,337508.017
2024-09-08,BANANA/USDT,39.65,40.48,38.37,39.4,176816.56
2024-09-09,BANANA/USDT,39.43,41.63,38.63,40.66,179310.18
2024-09-10,BANANA/USDT,40.66,41.47,39.56,41.41,147711.915
2024-09-11,BANANA/USDT,41.41,41.41,37.58,39.33,158526.821
2024-09-12,BANANA/USDT,39.34,40.61,39.02,39.98,124899.738
2024-09-13,BANANA/USDT,39.99,42.14,38.85,41.65,120402.494
2024-09-14,BANANA/USDT,41.65,42.04,40.4,41.67,60666.246
2024-09-15,BANANA/USDT,41.67,42.24,39.1,39.49,92767.787
2024-09-16,BANANA/USDT,39.5,40.32,37.75,38.12,133939.3
2024-09-17,BANANA/USDT,38.1,40.5,37.36,39.76,148674.515
2024-09-18,BANANA/USDT,39.76,41.17,37.91,41.14,123923.405
2024-09-19,BANANA/USDT,41.15,43.27,37.9,38.45,899554.649
2024-09-20,BANANA/USDT,38.43,40.36,36.35,37.5,606730.249
2024-09-21,BANANA/USDT,37.49,37.57,36.24,37.29,155129.655
2024-09-22,BANANA/USDT,37.3,37.42,33.41,34.54,214558.288
2024-09-23,BANANA/USDT,34.56,37.21,33.76,36.8,301377.786
2024-09-24,BANANA/USDT,36.78,37.74,35.9,37.51,213149.526
2024-09-25,BANANA/USDT,37.52,41.99,37.46,39.98,391694.024
2024-09-26,BANANA/USDT,39.99,44.08,39.26,40.1,507709.594
2024-09-27,BANANA/USDT,40.08,45.1,40.08,43.51,289338.671
2024-09-28,BANANA/USDT,43.54,43.98,40.69,42.24,134850.641
2024-09-29,BANANA/USDT,42.23,43.75,41.52,42.5,162552.054
2024-09-30,BANANA/USDT,42.5,47.55,40.58,45.89,459570.824
2024-10-01,BANANA/USDT,45.95,47.5,41.41,44.03,340349.232
2024-10-02,BANANA/USDT,44.02,46.83,41.64,44.17,219271.835
2024-10-03,BANANA/USDT,44.17,48.85,43.36,48.46,347651.349
2024-10-04,BANANA/USDT,48.47,51.71,45.54,46.54,347743.669
2024-10-05,BANANA/USDT,46.6,46.74,42.67,43.85,154490.848
2024-10-06,BANANA/USDT,43.85,46.16,42.96,45.67,133146.55
2024-10-07,BANANA/USDT,45.68,50.2,44.29,49.8,351432.368
2024-10-08,BANANA/USDT,49.8,52.22,47.25,47.72,259706.02
2024-10-09,BANANA/USDT,47.72,49.23,45.43,46.94,206486.644
2024-10-10,BANANA/USDT,46.96,51.69,46.91,49.97,285033.368
2024-10-11,BANANA/USDT,49.96,57.67,49.3,56.3,431082.665
2024-10-12,BANANA/USDT,56.28,64.68,55.73,62.03,488595.233
2024-10-13,BANANA/USDT,62.03,64.64,59.5,63.45,312639.827
2024-10-14,BANANA/USDT,63.48,67.0,61.91,62.21,346658.699
2024-10-15,BANANA/USDT,62.22,62.98,57.69,58.43,308678.552
2024-10-16,BANANA/USDT,58.44,59.99,55.87,58.25,206374.24
2024-10-17,BANANA/USDT,58.25,58.81,54.99,55.07,130186.523
2024-10-18,BANANA/USDT,55.07,62.39,54.93,59.39,298512.584
2024-10-19,BANANA/USDT,59.39,59.96,57.7,58.12,74481.193
2024-10-20,BANANA/USDT,58.13,58.4,56.16,56.5,85923.911
2024-10-21,BANANA/USDT,56.48,59.22,54.15,55.57,177232.516
2024-10-22,BANANA/USDT,55.59,56.89,53.62,54.78,99712.939
2024-10-23,BANANA/USDT,54.84,55.01,51.59,53.47,99734.519
2024-10-24,BANANA/USDT,53.48,55.23,52.15,54.34,86241.371
