Date,Symbol,Open,High,Low,Close,Volume
2025-07-10,CROSSUSDT,0.1330000,0.1592700,0.1156500,0.1320300,350549775
2025-07-11,CROSSUSDT,0.1321900,0.2997800,0.1265600,0.1554000,1093128886
2025-07-12,CROSSUSDT,0.1553200,0.1739000,0.1062700,0.1227000,630769269
2025-07-13,CROSSUSDT,0.1226900,0.1698000,0.1130000,0.1356400,847670974
2025-07-14,CROSSUSDT,0.1356300,0.1818000,0.1290000,0.1573500,797131680
2025-07-15,CROSSUSDT,0.1573700,0.2299500,0.1526200,0.2142900,2020110211
2025-07-16,CROSSUSDT,0.2143000,0.2433300,0.2078800,0.2203900,682140281
2025-07-17,CROSSUSDT,0.2203900,0.4035000,0.2180600,0.3782100,1475635355
2025-07-18,CROSSUSDT,0.3781100,0.4489400,0.2483000,0.3105900,1578048404
2025-07-19,CROSSUSDT,0.3104900,0.3527900,0.2721400,0.3082500,872932494
2025-07-20,CROSSUSDT,0.3082300,0.3724000,0.3003000,0.3683800,423613878
2025-07-21,CROSSUSDT,0.3686000,0.3946500,0.3205300,0.3489800,347441300
2025-07-22,CROSSUSDT,0.3489600,0.3509200,0.2987600,0.3233000,281722002
2025-07-23,CROSSUSDT,0.3233100,0.3500000,0.3086500,0.3456400,277957501
2025-07-24,CROSSUSDT,0.3455800,0.3514800,0.2661000,0.2830200,257424678
2025-07-25,CROSSUSDT,0.2830600,0.3279100,0.2690600,0.3152500,224768158
2025-07-26,CROSSUSDT,0.3151600,0.3173400,0.2769500,0.2780500,174023309
2025-07-27,CROSSUSDT,0.2781000,0.3445700,0.2769200,0.3264100,205624910
2025-07-28,CROSSUSDT,0.3262800,0.3505600,0.3171800,0.3369300,183153701
2025-07-29,CROSSUSDT,0.3369500,0.3426000,0.3025200,0.3115000,133733483
2025-07-30,CROSSUSDT,0.3114500,0.3189000,0.2943000,0.3125600,102825250
2025-07-31,CROSSUSDT,0.3125600,0.3338600,0.3074600,0.3114000,81070801
2025-08-01,CROSSUSDT,0.3113800,0.3343800,0.2777300,0.2876800,188603999
2025-08-02,CROSSUSDT,0.2876700,0.2941600,0.2655800,0.2733200,92086840
2025-08-03,CROSSUSDT,0.2734000,0.2943900,0.2708100,0.2916800,48327240
2025-08-04,CROSSUSDT,0.2916100,0.3080300,0.2863500,0.3018000,60438338
2025-08-05,CROSSUSDT,0.3017500,0.3173200,0.2732700,0.3146800,116962214
2025-08-06,CROSSUSDT,0.3147200,0.3195600,0.3020400,0.3115400,69621871
2025-08-07,CROSSUSDT,0.3116300,0.3129400,0.2942300,0.2963800,40608456
