Date,Symbol,Open,High,Low,Close,Volume
2021-01-21,CHZUSDT,0.02200,0.02440,0.01852,0.01892,133227029
2021-01-22,CHZUSDT,0.01891,0.02050,0.01703,0.01977,228358525
2021-01-23,CHZUSDT,0.01975,0.02092,0.01920,0.01984,214767247
2021-01-24,CHZUSDT,0.01985,0.02050,0.01930,0.01989,163003415
2021-01-25,CHZUSDT,0.01990,0.02118,0.01870,0.01885,257618104
2021-01-26,CHZUSDT,0.01886,0.02069,0.01829,0.02068,335453946
2021-01-27,CHZUSDT,0.02068,0.02089,0.01861,0.01902,336602499
2021-01-28,CHZUSDT,0.01903,0.02054,0.01856,0.02010,898768693
2021-01-29,CHZUSDT,0.02008,0.02091,0.01952,0.02003,223127064
2021-01-30,CHZUSDT,0.02002,0.02328,0.01955,0.02146,316845548
2021-01-31,CHZUSDT,0.02145,0.02265,0.02028,0.02169,233376357
2021-02-01,CHZUSDT,0.02169,0.02388,0.02090,0.02257,465982954
2021-02-02,CHZUSDT,0.02257,0.02371,0.02199,0.02277,208970240
2021-02-03,CHZUSDT,0.02272,0.02463,0.02250,0.02418,262307434
2021-02-04,CHZUSDT,0.02423,0.02502,0.02145,0.02323,517176066
2021-02-05,CHZUSDT,0.02323,0.02597,0.02307,0.02575,399861055
2021-02-06,CHZUSDT,0.02572,0.02621,0.02180,0.02371,346825149
2021-02-07,CHZUSDT,0.02373,0.02417,0.02108,0.02297,244238702
2021-02-08,CHZUSDT,0.02296,0.02487,0.02183,0.02448,420613886
2021-02-09,CHZUSDT,0.02451,0.02823,0.02428,0.02687,575837773
2021-02-10,CHZUSDT,0.02690,0.03149,0.02413,0.02940,1354812337
2021-02-11,CHZUSDT,0.02940,0.03298,0.02826,0.03052,686434989
2021-02-12,CHZUSDT,0.03059,0.03811,0.02975,0.03602,1114903776
2021-02-13,CHZUSDT,0.03601,0.03850,0.03291,0.03698,772571436
2021-02-14,CHZUSDT,0.03702,0.03886,0.03317,0.03473,488682219
2021-02-15,CHZUSDT,0.03474,0.03889,0.02629,0.03447,1483782842
2021-02-16,CHZUSDT,0.03452,0.03757,0.03274,0.03500,450517896
2021-02-17,CHZUSDT,0.03504,0.03960,0.03306,0.03645,563528534
2021-02-18,CHZUSDT,0.03646,0.04032,0.03640,0.03997,405679318
2021-02-19,CHZUSDT,0.03997,0.07484,0.03997,0.05349,3202840123
2021-02-20,CHZUSDT,0.05349,0.05754,0.04639,0.05064,727759539
2021-02-21,CHZUSDT,0.05058,0.05752,0.04931,0.05386,478830421
2021-02-22,CHZUSDT,0.05395,0.05541,0.03366,0.04773,511613302
2021-02-23,CHZUSDT,0.04779,0.04926,0.03217,0.04215,575942957
2021-02-24,CHZUSDT,0.04217,0.05749,0.03871,0.05083,1239335203
2021-02-25,CHZUSDT,0.05095,0.06217,0.04914,0.05004,1041715933
2021-02-26,CHZUSDT,0.05009,0.05427,0.04669,0.05041,461985041
2021-02-27,CHZUSDT,0.05047,0.06079,0.05025,0.05291,464972394
2021-02-28,CHZUSDT,0.05280,0.05402,0.04652,0.05075,288784395
2021-03-01,CHZUSDT,0.05068,0.05660,0.05007,0.05653,278402499
2021-03-02,CHZUSDT,0.05643,0.07009,0.05415,0.06516,1390894471
2021-03-03,CHZUSDT,0.06516,0.09107,0.06399,0.08523,2291458895
2021-03-04,CHZUSDT,0.08510,0.15000,0.08158,0.11825,6072896012
2021-03-05,CHZUSDT,0.11824,0.13938,0.10723,0.11058,2766916048
2021-03-06,CHZUSDT,0.11073,0.11859,0.10056,0.11312,1498464503
2021-03-07,CHZUSDT,0.11305,0.14259,0.11290,0.12872,2278027679
2021-03-08,CHZUSDT,0.12881,0.24382,0.12858,0.21990,5197942510
2021-03-09,CHZUSDT,0.21964,0.31634,0.21964,0.26723,6717107199
2021-03-10,CHZUSDT,0.26725,0.27783,0.23530,0.24921,2284538381
2021-03-11,CHZUSDT,0.24924,0.40572,0.24529,0.35792,3831364614
2021-03-12,CHZUSDT,0.35796,0.95800,0.35700,0.72889,5518886242
2021-03-13,CHZUSDT,0.72885,0.89344,0.58446,0.60415,3812450090
2021-03-14,CHZUSDT,0.60441,0.74404,0.56850,0.65340,2632423280
2021-03-15,CHZUSDT,0.65351,0.69008,0.58320,0.60611,1237708524
2021-03-16,CHZUSDT,0.60601,0.61400,0.47510,0.52041,1640612666
2021-03-17,CHZUSDT,0.52069,0.61300,0.47942,0.58070,1835482110
2021-03-18,CHZUSDT,0.58061,0.67540,0.56578,0.63826,1378945147
2021-03-19,CHZUSDT,0.63810,0.71565,0.58845,0.60456,1471743496
2021-03-20,CHZUSDT,0.60466,0.61791,0.53464,0.54512,841628256
2021-03-21,CHZUSDT,0.54512,0.59884,0.53239,0.55496,805131420
2021-03-22,CHZUSDT,0.55517,0.56636,0.49410,0.50888,586283400
2021-03-23,CHZUSDT,0.50893,0.53756,0.47359,0.50770,712881732
2021-03-24,CHZUSDT,0.50765,0.56101,0.44250,0.48217,805712468
2021-03-25,CHZUSDT,0.48254,0.50385,0.45898,0.48335,619909761
2021-03-26,CHZUSDT,0.48320,0.53333,0.48049,0.51618,548332493
2021-03-27,CHZUSDT,0.51644,0.54865,0.49079,0.52327,568326348
2021-03-28,CHZUSDT,0.52365,0.55767,0.51135,0.54087,618482623
2021-03-29,CHZUSDT,0.54091,0.54510,0.51793,0.53109,360823121
2021-03-30,CHZUSDT,0.53114,0.54424,0.51753,0.52767,373828132
2021-03-31,CHZUSDT,0.52759,0.52850,0.46000,0.50053,529748007
2021-04-01,CHZUSDT,0.50070,0.50785,0.48000,0.48901,229941114
2021-04-02,CHZUSDT,0.48901,0.52470,0.48400,0.49411,334760574
2021-04-03,CHZUSDT,0.49409,0.50889,0.41700,0.45348,486534861
2021-04-04,CHZUSDT,0.45348,0.54959,0.44210,0.48778,839996655
2021-04-05,CHZUSDT,0.48774,0.49900,0.45500,0.46165,401343858
2021-04-06,CHZUSDT,0.46164,0.47033,0.42387,0.44693,506723944
2021-04-07,CHZUSDT,0.44716,0.49451,0.35930,0.45306,1446578429
2021-04-08,CHZUSDT,0.45280,0.53137,0.43719,0.48937,1199256087
2021-04-09,CHZUSDT,0.48937,0.50800,0.46959,0.48354,552499492
2021-04-10,CHZUSDT,0.48358,0.48387,0.44444,0.46236,292506589
2021-04-11,CHZUSDT,0.46237,0.48266,0.43750,0.46616,394884687
2021-04-12,CHZUSDT,0.46628,0.58692,0.45862,0.56818,1182490118
2021-04-13,CHZUSDT,0.56839,0.57640,0.50156,0.51900,1010374634
2021-04-14,CHZUSDT,0.51901,0.53032,0.47301,0.50361,785632694
2021-04-15,CHZUSDT,0.50378,0.57699,0.49784,0.53425,1060776924
2021-04-16,CHZUSDT,0.53431,0.84000,0.51100,0.76977,3029538781
2021-04-17,CHZUSDT,0.77091,0.79600,0.59350,0.61931,1478919943
2021-04-18,CHZUSDT,0.61943,0.66436,0.39381,0.54999,1571870305
2021-04-19,CHZUSDT,0.54982,0.58712,0.48370,0.50637,884912289
2021-04-20,CHZUSDT,0.50629,0.53857,0.45000,0.51283,906629268
2021-04-21,CHZUSDT,0.51270,0.58425,0.50283,0.52165,1074201392
2021-04-22,CHZUSDT,0.52200,0.54195,0.44146,0.46534,868956119
2021-04-23,CHZUSDT,0.46534,0.47545,0.31033,0.43042,1452849674
2021-04-24,CHZUSDT,0.43076,0.44040,0.38407,0.38754,705462661
2021-04-25,CHZUSDT,0.38752,0.43134,0.35611,0.39232,574241542
2021-04-26,CHZUSDT,0.39233,0.47700,0.38704,0.45700,695971375
2021-04-27,CHZUSDT,0.45687,0.53879,0.44447,0.51809,778167541
2021-04-28,CHZUSDT,0.51810,0.56683,0.47392,0.53660,902888427
2021-04-29,CHZUSDT,0.53679,0.61545,0.51352,0.56362,1170867478
2021-04-30,CHZUSDT,0.56379,0.57773,0.54000,0.57089,511206225
2021-05-01,CHZUSDT,0.57110,0.57123,0.54047,0.55429,363836710
2021-05-02,CHZUSDT,0.55409,0.55664,0.50733,0.53198,405917725
2021-05-03,CHZUSDT,0.53198,0.55122,0.52027,0.52544,355003323
2021-05-04,CHZUSDT,0.52554,0.55820,0.46933,0.48676,901120709
2021-05-05,CHZUSDT,0.48670,0.52547,0.48000,0.51985,502169801
2021-05-06,CHZUSDT,0.52001,0.53481,0.48890,0.50497,519739703
2021-05-07,CHZUSDT,0.50494,0.52990,0.49250,0.50527,425466826
2021-05-08,CHZUSDT,0.50526,0.51698,0.49301,0.49784,323868282
2021-05-09,CHZUSDT,0.49765,0.50103,0.45133,0.48601,392703557
2021-05-10,CHZUSDT,0.48613,0.50600,0.38608,0.43495,561631183
2021-05-11,CHZUSDT,0.43496,0.46112,0.42500,0.45936,344026336
2021-05-12,CHZUSDT,0.45928,0.48153,0.38048,0.40100,531253106
2021-05-13,CHZUSDT,0.40024,0.46315,0.36038,0.42825,1021833592
2021-05-14,CHZUSDT,0.42843,0.44775,0.41668,0.43607,338389902
2021-05-15,CHZUSDT,0.43586,0.52505,0.42500,0.43303,1149218738
2021-05-16,CHZUSDT,0.43297,0.48691,0.41387,0.43653,579200524
2021-05-17,CHZUSDT,0.43650,0.43692,0.38025,0.40652,439312398
2021-05-18,CHZUSDT,0.40637,0.45495,0.40163,0.41901,409907278
2021-05-19,CHZUSDT,0.41907,0.42950,0.12694,0.26184,975099638
2021-05-20,CHZUSDT,0.26191,0.34958,0.23068,0.30857,962225757
2021-05-21,CHZUSDT,0.30861,0.33735,0.23410,0.27886,698274524
2021-05-22,CHZUSDT,0.27904,0.28613,0.23898,0.25279,421853221
2021-05-23,CHZUSDT,0.25279,0.26202,0.16420,0.21336,742149120
2021-05-24,CHZUSDT,0.21340,0.26465,0.20506,0.26461,726513060
2021-05-25,CHZUSDT,0.26456,0.27476,0.23022,0.25762,552024654
2021-05-26,CHZUSDT,0.25792,0.33750,0.25028,0.33526,740118559
2021-05-27,CHZUSDT,0.33540,0.33612,0.28805,0.30100,804484070
2021-05-28,CHZUSDT,0.30094,0.32500,0.26805,0.28716,1129337062
2021-05-29,CHZUSDT,0.28720,0.29457,0.25505,0.27122,715299149
2021-05-30,CHZUSDT,0.27122,0.28532,0.24851,0.26927,832089095
2021-05-31,CHZUSDT,0.26928,0.28359,0.25247,0.28188,434426277
2021-06-01,CHZUSDT,0.28182,0.28754,0.26608,0.27206,286151720
2021-06-02,CHZUSDT,0.27206,0.28224,0.26562,0.27746,269784175
2021-06-03,CHZUSDT,0.27745,0.30579,0.27417,0.29503,412478746
2021-06-04,CHZUSDT,0.29504,0.30150,0.25388,0.26952,441269374
2021-06-05,CHZUSDT,0.26952,0.28295,0.25142,0.26053,293243527
2021-06-06,CHZUSDT,0.26053,0.26939,0.25957,0.26681,193613915
2021-06-07,CHZUSDT,0.26690,0.27466,0.23725,0.24113,315327291
2021-06-08,CHZUSDT,0.24111,0.24568,0.20503,0.23262,513628597
2021-06-09,CHZUSDT,0.23268,0.24345,0.21653,0.24164,325641849
2021-06-10,CHZUSDT,0.24168,0.28068,0.22906,0.27662,1115108610
2021-06-11,CHZUSDT,0.27661,0.35713,0.26010,0.29596,5397444272
2021-06-12,CHZUSDT,0.29600,0.32100,0.27237,0.27395,2606086470
2021-06-13,CHZUSDT,0.27395,0.28880,0.26285,0.28544,1041673561
