Date,Symbol,Open,High,Low,Close,Volume
2025-07-09,TANSSIUSDT,0.0489500,0.0636000,0.0456000,0.0603600,3964634605
2025-07-10,TANSSIUSDT,0.0603500,0.0853000,0.0531400,0.0564500,5255231305
2025-07-11,TANSSIUSDT,0.0564700,0.0867200,0.0537800,0.0615800,2591292505
2025-07-12,TANSSIUSDT,0.0616100,0.0664200,0.0473700,0.0538500,1195823019
2025-07-13,TANSSIUSDT,0.0538400,0.0613200,0.0489500,0.0586800,972870879
2025-07-14,TANSSIUSDT,0.0586800,0.0624500,0.0520000,0.0538200,597151956
2025-07-15,TANSSIUSDT,0.0538200,0.0582700,0.0514400,0.0565500,472402363
2025-07-16,TANSSIUSDT,0.0565400,0.0669500,0.0533000,0.0662800,739009301
2025-07-17,TANSSIUSDT,0.0662500,0.0734700,0.0555200,0.0608100,705174130
2025-07-18,TANSSIUSDT,0.0608000,0.0735000,0.0584200,0.0695000,564962797
2025-07-19,TANSSIUSDT,0.0695400,0.0722800,0.0603500,0.0640100,424876336
2025-07-20,TANSSIUSDT,0.0640200,0.0667500,0.0602500,0.0623700,253757751
2025-07-21,TANSSIUSDT,0.0624000,0.0655000,0.0584700,0.0649300,254459144
2025-07-22,TANSSIUSDT,0.0649300,0.0672600,0.0617400,0.0664000,258827004
2025-07-23,TANSSIUSDT,0.0664000,0.0681200,0.0590000,0.0619400,216599817
2025-07-24,TANSSIUSDT,0.0619600,0.0687200,0.0596600,0.0617700,271185610
2025-07-25,TANSSIUSDT,0.0617900,0.0635400,0.0541400,0.0573600,180285073
2025-07-26,TANSSIUSDT,0.0573500,0.0595400,0.0534200,0.0550900,180684672
2025-07-27,TANSSIUSDT,0.0551000,0.0612100,0.0541500,0.0552300,162203292
2025-07-28,TANSSIUSDT,0.0552100,0.0566400,0.0513100,0.0522200,179082042
2025-07-29,TANSSIUSDT,0.0522300,0.0576400,0.0503300,0.0536800,270381877
2025-07-30,TANSSIUSDT,0.0536900,0.0558100,0.0496200,0.0555200,139117797
2025-07-31,TANSSIUSDT,0.0555300,0.0587800,0.0515300,0.0530300,106107703
2025-08-01,TANSSIUSDT,0.0530400,0.0532100,0.0487500,0.0508600,102169080
2025-08-02,TANSSIUSDT,0.0508900,0.0547400,0.0490800,0.0506100,157113433
2025-08-03,TANSSIUSDT,0.0506100,0.0537500,0.0493400,0.0528600,76657598
2025-08-04,TANSSIUSDT,0.0528400,0.0613300,0.0516900,0.0600500,197743912
2025-08-05,TANSSIUSDT,0.0600800,0.0690000,0.0554300,0.0682100,380037431
2025-08-06,TANSSIUSDT,0.0682100,0.0886100,0.0502800,0.0577100,862945822
