Date,Symbol,Open,High,Low,Close,Volume
2025-06-04,PUFFERUSDT,0.2304700,0.2348100,0.2097500,0.2164000,150002141
2025-06-05,PUFFERUSDT,0.2163600,0.2197400,0.1861100,0.1884600,102500194
2025-06-06,PUFFERUSDT,0.1884700,0.1967500,0.1858100,0.1957600,57968147
2025-06-07,PUFFERUSDT,0.1957600,0.2028800,0.1912900,0.1932800,48234837
2025-06-08,PUFFERUSDT,0.1932800,0.1981800,0.1912500,0.1933600,23969785
2025-06-09,PUFFERUSDT,0.1933900,0.1983100,0.1888300,0.1976100,24607930
2025-06-10,PUFFERUSDT,0.1977100,0.2086500,0.1960900,0.2048800,30022523
2025-06-11,PUFFERUSDT,0.2048400,0.2099900,0.1972100,0.2005900,22152243
2025-06-12,PUFFERUSDT,0.2005900,0.2014700,0.1928500,0.1947800,20380330
2025-06-13,PUFFERUSDT,0.1947800,0.1947800,0.1825600,0.1878400,29101564
2025-06-14,PUFFERUSDT,0.1878600,0.1906000,0.1802000,0.1857900,27139382
2025-06-15,PUFFERUSDT,0.1857900,0.1889100,0.1800900,0.1842400,14810070
2025-06-16,PUFFERUSDT,0.1842000,0.1899100,0.1818300,0.1824800,16252696
2025-06-17,PUFFERUSDT,0.1823100,0.1838500,0.1609600,0.1616100,38495617
2025-06-18,PUFFERUSDT,0.1617100,0.1704200,0.1586300,0.1694300,19622264
2025-06-19,PUFFERUSDT,0.1694300,0.1699800,0.1600100,0.1640000,16093168
2025-06-20,PUFFERUSDT,0.1640100,0.1677000,0.1539600,0.1557700,15463183
2025-06-21,PUFFERUSDT,0.1557000,0.1595100,0.1444900,0.1490000,18633621
2025-06-22,PUFFERUSDT,0.1490000,0.1546500,0.1399200,0.1483700,20248115
2025-06-23,PUFFERUSDT,0.1484800,0.1608000,0.1461000,0.1598200,12403764
2025-06-24,PUFFERUSDT,0.1598400,0.1634400,0.1561200,0.1594100,17010010
2025-06-25,PUFFERUSDT,0.1594400,0.1632100,0.1550800,0.1587600,15018448
2025-06-26,PUFFERUSDT,0.1587400,0.1640000,0.1533600,0.1553700,20572256
2025-06-27,PUFFERUSDT,0.1553400,0.1583900,0.1505400,0.1527500,13926251
2025-06-28,PUFFERUSDT,0.1527700,0.1594300,0.1507200,0.1580900,5508001
2025-06-29,PUFFERUSDT,0.1580300,0.1675600,0.1537900,0.1651700,7174573
2025-06-30,PUFFERUSDT,0.1652600,0.1664900,0.1562600,0.1619500,9655194
2025-07-01,PUFFERUSDT,0.1619000,0.1670300,0.1477400,0.1499100,22278106
2025-07-02,PUFFERUSDT,0.1499700,0.1690000,0.1481000,0.1653800,15901202
2025-07-03,PUFFERUSDT,0.1653000,0.1754500,0.1610600,0.1745600,14459211
2025-07-04,PUFFERUSDT,0.1744200,0.1799200,0.1590900,0.1613700,25642666
2025-07-05,PUFFERUSDT,0.1615300,0.1684600,0.1588900,0.1642200,10136230
2025-07-06,PUFFERUSDT,0.1642200,0.1663700,0.1584000,0.1640900,5650414
2025-07-07,PUFFERUSDT,0.1640300,0.1679800,0.1613600,0.1657400,5884349
2025-07-08,PUFFERUSDT,0.1657600,0.1683200,0.1588200,0.1608200,11195793
2025-07-09,PUFFERUSDT,0.1608600,0.1698600,0.1604000,0.1691700,8697292
2025-07-10,PUFFERUSDT,0.1692400,0.1815100,0.1670300,0.1785500,14584203
2025-07-11,PUFFERUSDT,0.1786000,0.2019400,0.1777400,0.1864600,19981005
2025-07-12,PUFFERUSDT,0.1865300,0.1869200,0.1727200,0.1795000,12305241
2025-07-13,PUFFERUSDT,0.1795600,0.1931700,0.1782700,0.1888200,9104311
2025-07-14,PUFFERUSDT,0.1888100,0.1928300,0.1746100,0.1800000,12649460
2025-07-15,PUFFERUSDT,0.1800000,0.1958500,0.1697200,0.1955200,16208718
2025-07-16,PUFFERUSDT,0.1953000,0.2055600,0.1853600,0.1919400,32242643
2025-07-17,PUFFERUSDT,0.1919400,0.2092100,0.1916500,0.2007200,20962526
2025-07-18,PUFFERUSDT,0.2007600,0.2202700,0.1960200,0.2024100,15785316
2025-07-19,PUFFERUSDT,0.2024800,0.2076600,0.1962100,0.2023900,5450189
2025-07-20,PUFFERUSDT,0.2022900,0.2886000,0.2007800,0.2221200,377213990
2025-07-21,PUFFERUSDT,0.2220600,0.2417200,0.2153200,0.2292900,50570915
2025-07-22,PUFFERUSDT,0.2293000,0.2307400,0.2090100,0.2202800,25134795
2025-07-23,PUFFERUSDT,0.2202900,0.2298500,0.1973700,0.2040900,26468188
2025-07-24,PUFFERUSDT,0.2041900,0.2150400,0.1896500,0.2046300,23525249
2025-07-25,PUFFERUSDT,0.2047700,0.2093900,0.1916100,0.2054300,13108017
2025-07-26,PUFFERUSDT,0.2054500,0.2145800,0.2005100,0.2059000,10382430
2025-07-27,PUFFERUSDT,0.2059700,0.2263200,0.2036200,0.2187100,19878323
2025-07-28,PUFFERUSDT,0.2187600,0.2508000,0.2060200,0.2102000,55774236
2025-07-29,PUFFERUSDT,0.2102400,0.2163200,0.1980400,0.2110300,16717455
2025-07-30,PUFFERUSDT,0.2109800,0.2270000,0.1993700,0.2135100,21606062
2025-07-31,PUFFERUSDT,0.2135100,0.2259600,0.2033200,0.2052100,16124714
2025-08-01,PUFFERUSDT,0.2052500,0.2102300,0.1929300,0.2081800,12884254
2025-08-02,PUFFERUSDT,0.2082700,0.2104900,0.1882100,0.1908500,11214989
2025-08-03,PUFFERUSDT,0.1907700,0.1996300,0.1889200,0.1956200,4123708
2025-08-04,PUFFERUSDT,0.1953800,0.2119600,0.1949600,0.2116300,8209287
2025-08-05,PUFFERUSDT,0.2116200,0.2161700,0.1948600,0.1984100,11269752
2025-08-06,PUFFERUSDT,0.1985000,0.2356800,0.1926900,0.2291800,29829100
2025-08-07,PUFFERUSDT,0.2290700,0.2347800,0.2156000,0.2328700,30753858
2025-08-08,PUFFERUSDT,0.2328900,0.2365600,0.2135200,0.2202100,18116549
2025-08-09,PUFFERUSDT,0.2202100,0.2394100,0.2185100,0.2285600,14526051
2025-08-10,PUFFERUSDT,0.2285800,0.2392700,0.2191800,0.2255400,16537945
2025-08-11,PUFFERUSDT,0.2255400,0.2321500,0.2130000,0.2131100,11726824
2025-08-12,PUFFERUSDT,0.2130200,0.2399400,0.2115500,0.2382700,29217964
2025-08-13,PUFFERUSDT,0.2382700,0.2507600,0.2312000,0.2449100,25982234
2025-08-14,PUFFERUSDT,0.2449600,0.2462500,0.2185000,0.2224700,21141754
2025-08-15,PUFFERUSDT,0.2224700,0.2274600,0.2131600,0.2171000,9878312
2025-08-16,PUFFERUSDT,0.2170100,0.2221200,0.2154000,0.2199300,5200412
2025-08-17,PUFFERUSDT,0.2199300,0.2319100,0.2188000,0.2258000,7047106
2025-08-18,PUFFERUSDT,0.2258900,0.2262100,0.2126200,0.2163400,7727441
