Date,Symbol,Open,High,Low,Close,Volume
2025-04-25,FISUSDT,0.1900000,0.2288800,0.1900000,0.2008100,232784821
2025-04-26,FISUSDT,0.2008100,0.2149200,0.1806800,0.2005000,159339606
2025-04-27,FISUSDT,0.2005000,0.2900000,0.1903700,0.2778600,961060193
2025-04-28,FISUSDT,0.2779000,0.2977700,0.2436300,0.2467000,716331146
2025-04-29,FISUSDT,0.2467000,0.2610000,0.2309600,0.2334100,162459984
2025-04-30,FISUSDT,0.2333700,0.2626700,0.2331000,0.2495000,148484032
2025-05-01,FISUSDT,0.2495000,0.2537100,0.2269500,0.2281700,74490790
2025-05-02,FISUSDT,0.2282000,0.2525800,0.2238400,0.2469900,79255888
2025-05-03,FISUSDT,0.2469800,0.2550000,0.2128700,0.2159300,96209469
2025-05-04,FISUSDT,0.2159300,0.2324800,0.2030000,0.2114100,91096637
2025-05-05,FISUSDT,0.2114700,0.2203600,0.2055400,0.2124700,92335557
2025-05-06,FISUSDT,0.2124600,0.2225000,0.1914300,0.2006700,79795141
2025-05-07,FISUSDT,0.2006900,0.2010000,0.1684300,0.1758900,120382009
2025-05-08,FISUSDT,0.1758500,0.1913900,0.1738100,0.1887400,81196610
2025-05-09,FISUSDT,0.1887200,0.1973900,0.1842500,0.1946700,38901475
2025-05-10,FISUSDT,0.1946800,0.2007700,0.1834900,0.1996700,32358456
2025-05-11,FISUSDT,0.1996300,0.2204300,0.1942800,0.2125200,99432857
2025-05-12,FISUSDT,0.2125600,0.2209400,0.2013200,0.2178600,69636150
2025-05-13,FISUSDT,0.2178800,0.2215500,0.2037900,0.2183700,34723977
2025-05-14,FISUSDT,0.2185600,0.2249300,0.2091100,0.2105700,32849355
2025-05-15,FISUSDT,0.2105700,0.2136700,0.1836200,0.1891000,50786991
2025-05-16,FISUSDT,0.1891100,0.1965400,0.1811600,0.1820200,18351473
2025-05-17,FISUSDT,0.1820300,0.1835600,0.1725000,0.1755500,15481740
2025-05-18,FISUSDT,0.1755600,0.1848700,0.1658500,0.1793400,24526204
2025-05-19,FISUSDT,0.1793600,0.1811400,0.1643700,0.1746200,20791517
2025-05-20,FISUSDT,0.1747100,0.1795900,0.1673900,0.1732800,14931179
2025-05-21,FISUSDT,0.1732800,0.1768900,0.1656100,0.1730400,27923999
2025-05-22,FISUSDT,0.1730600,0.1816300,0.1720300,0.1774900,19905023
2025-05-23,FISUSDT,0.1775600,0.1837000,0.1610000,0.1625000,27697052
2025-05-24,FISUSDT,0.1624300,0.1680600,0.1602200,0.1649300,17443006
2025-05-25,FISUSDT,0.1648600,0.1658000,0.1537700,0.1612100,16386333
2025-05-26,FISUSDT,0.1611800,0.1646600,0.1544500,0.1565200,15605624
2025-05-27,FISUSDT,0.1565500,0.1637200,0.1525600,0.1622700,16185531
2025-05-28,FISUSDT,0.1623000,0.1758800,0.1558000,0.1709900,69273542
2025-05-29,FISUSDT,0.1710300,0.1860000,0.1661400,0.1670000,238891072
2025-05-30,FISUSDT,0.1670000,0.1755300,0.1554700,0.1581800,86953416
2025-05-31,FISUSDT,0.1582100,0.1582600,0.1450500,0.1506800,31677032
2025-06-01,FISUSDT,0.1507100,0.1568700,0.1467200,0.1561600,13413692
2025-06-02,FISUSDT,0.1561800,0.1611300,0.1483300,0.1551200,21644239
2025-06-03,FISUSDT,0.1551700,0.1593000,0.1521700,0.1542600,14529694
