Date,Symbol,Open,High,Low,Close,Volume
2020-02-05,ZECUSDT,65.99,73.26,64.77,71.22,83798.339
2020-02-06,ZECUSDT,71.22,73.47,67.76,70.17,69289.160
2020-02-07,ZECUSDT,70.21,72.25,68.03,68.59,98172.843
2020-02-08,ZECUSDT,68.61,72.34,66.00,70.13,89554.027
2020-02-09,ZECUSDT,70.14,73.10,68.85,71.43,73579.213
2020-02-10,ZECUSDT,71.43,71.65,68.00,69.90,76113.401
2020-02-11,ZECUSDT,69.90,73.21,68.24,72.75,92413.848
2020-02-12,ZECUSDT,72.80,75.27,72.37,73.61,109908.374
2020-02-13,ZECUSDT,73.61,76.01,70.10,72.12,121454.499
2020-02-14,ZECUSDT,72.13,73.39,70.47,72.96,82366.846
2020-02-15,ZECUSDT,72.97,73.09,62.43,64.53,106902.644
2020-02-16,ZECUSDT,64.53,66.62,53.42,60.06,177638.011
2020-02-17,ZECUSDT,60.04,66.16,54.82,64.21,249737.318
2020-02-18,ZECUSDT,64.22,66.50,60.07,65.91,220269.200
2020-02-19,ZECUSDT,65.97,69.67,60.70,62.07,124006.937
2020-02-20,ZECUSDT,62.07,64.20,58.01,60.80,181149.109
2020-02-21,ZECUSDT,60.78,64.03,59.90,61.63,112631.857
2020-02-22,ZECUSDT,61.59,62.30,60.01,60.86,62341.265
2020-02-23,ZECUSDT,60.82,63.85,60.81,63.40,107643.865
2020-02-24,ZECUSDT,63.40,64.38,58.92,60.76,154634.058
2020-02-25,ZECUSDT,60.73,61.01,56.16,57.11,121131.633
2020-02-26,ZECUSDT,57.12,58.07,48.20,51.38,230130.046
2020-02-27,ZECUSDT,51.38,55.15,47.97,52.98,200530.652
2020-02-28,ZECUSDT,53.02,54.18,48.71,50.79,155193.102
2020-02-29,ZECUSDT,50.83,52.19,48.96,48.98,131075.268
2020-03-01,ZECUSDT,48.99,51.60,48.01,49.08,147671.281
2020-03-02,ZECUSDT,49.11,52.99,48.85,52.39,110757.843
2020-03-03,ZECUSDT,52.41,52.43,49.80,50.84,94094.612
2020-03-04,ZECUSDT,50.84,51.56,48.95,50.16,69117.992
2020-03-05,ZECUSDT,50.24,53.26,50.21,51.90,121733.293
2020-03-06,ZECUSDT,51.92,53.58,51.07,53.34,94310.247
2020-03-07,ZECUSDT,53.30,53.56,50.34,50.68,70776.323
2020-03-08,ZECUSDT,50.62,50.68,42.01,42.81,232992.294
2020-03-09,ZECUSDT,42.86,44.22,38.79,42.21,230627.643
2020-03-10,ZECUSDT,42.18,42.61,40.32,41.46,135221.203
2020-03-11,ZECUSDT,41.45,42.14,37.41,40.26,135940.419
2020-03-12,ZECUSDT,40.26,40.43,24.08,25.38,414644.750
2020-03-13,ZECUSDT,25.32,29.83,16.91,27.38,673893.389
2020-03-14,ZECUSDT,27.39,27.68,24.61,24.94,310368.922
2020-03-15,ZECUSDT,24.96,27.00,24.60,25.66,249346.348
2020-03-16,ZECUSDT,25.66,26.23,21.26,24.67,407380.139
2020-03-17,ZECUSDT,24.72,25.73,23.88,25.01,160873.961
2020-03-18,ZECUSDT,25.00,30.03,24.29,29.75,302854.991
2020-03-19,ZECUSDT,29.74,33.85,28.13,31.95,361032.924
2020-03-20,ZECUSDT,31.97,36.23,29.61,33.07,291703.987
2020-03-21,ZECUSDT,33.07,35.47,31.95,32.95,218055.777
2020-03-22,ZECUSDT,32.94,35.44,28.99,29.45,172418.740
2020-03-23,ZECUSDT,29.46,33.06,28.96,32.06,141995.374
2020-03-24,ZECUSDT,32.06,33.20,31.74,32.72,93377.307
