Date,Symbol,Open,High,Low,Close,Volume
2025-06-11,SQDUSDT,0.2275100,0.2935000,0.2275100,0.2460400,279315822
2025-06-12,SQDUSDT,0.2460300,0.2672900,0.2308000,0.2546000,288410655
2025-06-13,SQDUSDT,0.2545900,0.2546000,0.2171800,0.2322600,200759432
2025-06-14,SQDUSDT,0.2322600,0.2425000,0.2228000,0.2365900,104950604
2025-06-15,SQDUSDT,0.2365900,0.2398400,0.2181200,0.2194000,81855050
2025-06-16,SQDUSDT,0.2193600,0.2329900,0.2007900,0.2015200,105224206
2025-06-17,SQDUSDT,0.2015200,0.2149900,0.1934800,0.2101000,76857770
2025-06-18,SQDUSDT,0.2100900,0.2134000,0.1973700,0.2007600,65583705
2025-06-19,SQDUSDT,0.2007300,0.2026700,0.1779300,0.1828200,57763167
2025-06-20,SQDUSDT,0.1828500,0.1869600,0.1701400,0.1773700,38765778
2025-06-21,SQDUSDT,0.1772900,0.1860000,0.1689200,0.1726200,36469844
2025-06-22,SQDUSDT,0.1727000,0.1765500,0.1341200,0.1422200,159954947
2025-06-23,SQDUSDT,0.1423100,0.1660500,0.1388300,0.1575600,81090594
2025-06-24,SQDUSDT,0.1576000,0.1577300,0.1310200,0.1385300,90384332
2025-06-25,SQDUSDT,0.1385600,0.1474100,0.1250000,0.1457100,84929344
2025-06-26,SQDUSDT,0.1456900,0.1556500,0.1405800,0.1518300,156984937
2025-06-27,SQDUSDT,0.1518300,0.1545100,0.1414600,0.1444900,54914300
2025-06-28,SQDUSDT,0.1444600,0.1533200,0.1391900,0.1492800,37208868
2025-06-29,SQDUSDT,0.1493000,0.1880000,0.1437800,0.1704600,159052850
2025-06-30,SQDUSDT,0.1704400,0.1739300,0.1579600,0.1633000,82240251
2025-07-01,SQDUSDT,0.1632500,0.1645700,0.1468700,0.1483400,35123007
2025-07-02,SQDUSDT,0.1483300,0.1861900,0.1429500,0.1784900,156767953
2025-07-03,SQDUSDT,0.1784400,0.1919500,0.1736100,0.1901700,142416294
2025-07-04,SQDUSDT,0.1901400,0.1904200,0.1656600,0.1699100,51365126
2025-07-05,SQDUSDT,0.1699500,0.1713500,0.1561100,0.1597300,29096790
2025-07-06,SQDUSDT,0.1597400,0.1671900,0.1593900,0.1623800,16240171
2025-07-07,SQDUSDT,0.1623900,0.1706400,0.1553000,0.1681200,22188511
2025-07-08,SQDUSDT,0.1681200,0.1696300,0.1566300,0.1644300,37625125
2025-07-09,SQDUSDT,0.1644300,0.1747900,0.1606100,0.1688800,24688306
2025-07-10,SQDUSDT,0.1688000,0.1706500,0.1616600,0.1703500,17965536
2025-07-11,SQDUSDT,0.1702200,0.1833500,0.1650900,0.1682800,24540343
2025-07-12,SQDUSDT,0.1682200,0.1747800,0.1588800,0.1644100,15153798
